id,produto,quantidade,preço,data
1,casaco,5,99.90,01/06/2024
2,bermuda,4,60.00,02/06/2024
3,tênis,13,120.00,03/06/2024
4,meia,10,8.00,04/06/2024
5,cinto,2,35.00,05/06/2024
6,camisa,5,60.00,06/06/2024
7,bermuda,3,50.00,07/06/2024
8,tênis,4,230.00,08/06/2024
9,cinto,3,30.00,09/06/2024
10,casaco,2,550.00,10/06/2024
11,mochila,4,60.00,11/06/2024
12,livro,15,400.00,12/06/2024
13,caderno,20,28.00,13/06/2024
14,caneta,30,3.00,14/06/2024
15,borracha,20,0.50,15/06/2024
16,cola,10,2.50,16/01/2024
17,régua,12,4.00,17/01/2024
18,pincel atômico,8,5.00,18/01/2024
19,papel sulfite A4 500 folhas,6,25.00,19/01/2024
20,pasta sanfonada,4,35.00,20/01/2024
21,fone de ouvido,3,80.00,21/01/2024
22,mouse sem fio,4,70.00,22/01/2024
23,filtro de linha,8,30.00,23/01/2024
24,cabo HDMI,10,15.00,24/01/2024
25,pilha AA,20,3.00,25/01/2024
26,luminária de mesa,4,40.00,26/01/2024
27,relogio de parede,8,20.00,27/01/2024
28,porta-retrato digital,2,100.00,28/01/2024
29,vaporizador de roupas,1,150.00,29/01/2024
30,balança digital,5,60.00,30/01/2024
31,furadeira elétrica,2,200.00,31/01/2024
32,jogo de panelas antiaderente,5,120.00,01/02/2024
33,faca elétrica,4,80.00,02/02/2024
34,sanduicheira elétrica,6,40.00,03/02/2024
35,mixer de alimentos,7,50.00,04/02/2024
36,batedeira planetária,2,300.00,05/02/2024
52,guitarra elétrica fender,3,2999.00,20/02/2024
53,amplificador de guitarra,4,799.00,21/02/2024
54,pedaleira preta,5,499.00,22/02/2024
55,cabo para instrumento ninja,10,59.00,23/02/2023
56,palheta dunlop,20,1.00,24/02/2024
57,afinador digital,6,59.00,25/02/2024
58,capotraste,8,99.00,26/02/2024
59,suporte para guitarra,8,29.00,27/02/2023
60,correia para guitarra,9,19.00,28/02/2023
61,encordoamento para guitarra,22,49.00,01/03/2023
62,violão acústico,4,599.00,02/03/2023
63,capa para violão,5,199.00,03/03/2023
64,banqueta para violão,6,69.00,04/03/2023
65,limpador de cordas,8,29.00,05/03/2023
66,flauta transversal,2,1999.00,06/03/2023
67,suporte para flauta,4,79.00,07/03/2023
68,estojo para flauta,10,9999,08/03/2023
70,saxofone,4,4359.00,10/03/2023
71,suporte para saxofone,5,32.69,11/03/2023
76,teclado musical casio,2,784.98,16/03/2023

